,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
7800,33775055,"PiH: Island View  Ocean Views, Hilton Pool Passes",96255708,Jeff And Suzanne,2016-09-22,"Island View at KaMilo provides a perfect setting for your Hawaii getaway and is designed for gatherings of up to 10 people and is provides an upscale, relaxing, luxurious and well-equipped home for your Hawaiian vacation. Fully furnished with beautiful finishes, Island View is one of the most elevated homes in the area which gives it the best view of the ocean in the whole KaMilo community! This home is sure to be a delightful spot for your family gathering.",within an hour,99%,97%,t,Island of Hawaiʻi,134.0,"['email', 'phone', 'work_email']",t,t,South Kohala,Hawaii,Entire home,Entire home/apt,10,3.5,4.0,6.0,"[""Coffee maker"", ""Heating"", ""Conditioner"", ""Sound system"", ""Freezer"", ""Sun loungers"", ""Hair dryer"", ""Bathtub"", ""Baby monitor"", ""Dining table"", ""Dishwasher"", ""Shower gel"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Wine glasses"", ""Mountain view"", ""Hot water"", ""Barbecue utensils"", ""Kitchen"", ""Bikes"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Drying rack for clothing"", ""Ocean view"", ""Microwave"", ""Outdoor dining area"", ""High chair"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Smart lock"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Beach essentials"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Books and reading material"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Patio or balcony"", ""Backyard"", ""Blender"", ""Baking sheet"", ""Rice maker"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Mini fridge"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Coffee"", ""Room-darkening shades"", ""Self check-in""]",$728.00,4,1125,4,1125,4.1,1125.0,12,25,38,242,26,2019-05-28,11,104,75712.0,5.0,5.0,4.96,4.92,4.96,4.96,4.96,f,0.37,GE-208-367-8720-01 - - TA-208-367-8720-01 - - STVR-19-348165
8000,34248654,Renovated Condo in Waikiki - walkable to beach,99286979,Xinyi,2016-10-11,"Your dream vacation is about to begin!<br /><br />This renovated studio with amazing river/mountain view is located in the world-Famous Waikiki. <br />Unit includes Wi-Fi, TV, beach gears, desk for remote workers, kitchen with a burner plate, bathroom with tub, a Queen size bed for comfortable sleeping for up to 2 guests. <br /><br />You’re walking distance from:<br />- Beach <br />- Countless restaurants, bars, and shops<br />- Ala Moana mall (largest shopping mall)<br />- Firework every Friday",within an hour,100%,92%,t,Upper East Side,1.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire condo,Entire home/apt,2,1.0,0.0,1.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Housekeeping - available at extra cost"", ""Hot tub"", ""Paid parking on premises"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV"", ""Long term stays allowed"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Stove"", ""Exercise equipment"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Smoke alarm"", ""Coffee"", ""Self check-in""]",$102.00,1,365,1,365,1.0,365.0,5,14,36,207,22,2024-05-20,20,132,13464.0,4.86,4.95,4.91,4.91,4.91,4.95,4.86,f,2.23,Exempt
8200,35309596,"Spacious, Great Location. Close to Beaches!",957687,Elizabeth,2011-08-11,"Our condo is romantic, cozy, quiet and close to the beaches. We are centrally located (30 mins from airport). The coordinated living and dining room furniture are accented by the flowing curtains by the private Lanai. We have an oak, full size, futon. The kitchen is fully equipped and not missing anything for home cooking with stainless steel cookware. Custom Levelor curtains block out all night light. Shared washer, dryer in complex.",within an hour,100%,98%,f,Kihei/Wailea,3.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Shared pool"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Lockbox"", ""Washer"", ""Oven"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$140.00,2,180,2,1125,2.0,1125.0,8,38,68,247,181,2019-06-05,26,138,19320.0,4.77,4.81,4.61,4.95,4.91,4.85,4.65,t,2.57,"390160270009, TA-131-200-4608-01"
8400,35799525,Stunning One Bedroom- Marriott Kauai Beach Club,140404508,Concierge,2017-07-14,"Reservations are available in weekly (7 night) increments with arrivals and departures on Fridays, Saturdays, and Sundays only.<br /><br /><br />Warm island hospitality meets the idyllic location of the Garden Isle at Marriott Kaua'i Beach Club Resort. Uniquely situated on Kalapaki Bay, our Kauai beach resort invites guests to soak up island adventures with a variety of recreational activities.",within a few hours,93%,49%,t,Newport Beach,463.0,"['email', 'phone']",t,t,Lihue,Kauai,Entire condo,Entire home/apt,4,2.0,1.0,2.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Hot tub"", ""Paid parking on premises"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""BBQ grill: gas"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""TV"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Exercise equipment"", ""Bed linens"", ""Free parking on premises"", ""Mini fridge"", ""Smoke alarm"", ""Gym"", ""Self check-in""]",$742.00,7,21,7,21,7.0,21.0,10,34,64,145,1,2022-07-15,0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,f,0.03,"350020020000, TA-137-506-6624-01"
8600,37254340,Breezy Oceanfront Walkout Pono Kai  Condo for 4,9375350,Deb,2013-10-11,"We are on the edge of ""Old Town"" Kapaa, an easy walk to restaurants, cute shops, and the best shave ice on Kauai! Our condo comes with a gorgeous ocean view, my own fresh orchids, refreshing trade wind breezes, and beautiful sunrises. Relax on the lanai, or walk a few steps to swim or snorkel, or wander on our famous coastal path! You can spend more, but you can’t get much closer to the beach! Hawaii taxes are included in the price!",within an hour,100%,100%,t,Kauaʻi,2.0,['phone'],t,t,Kapaa-Wailua,Kauai,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Safe"", ""Dishwasher"", ""Dining table"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Shared pool"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Shared hot tub"", ""Barbecue utensils"", ""Paid washer \u2013 In building"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Microwave"", ""Outdoor dining area"", ""Elevator"", ""Single level home"", ""Beach view"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Private patio or balcony"", ""Waterfront"", ""Oven"", ""Beach essentials"", ""TV"", ""Long term stays allowed"", ""Cooking basics"", ""Resort access"", ""Books and reading material"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Coffee"", ""Room-darkening shades""]",$254.00,3,180,3,180,3.0,180.0,4,8,14,117,191,2019-10-09,36,204,51816.0,4.92,4.94,4.93,4.93,4.98,4.95,4.88,f,2.9,450070020155
8800,37913113,Maui Resort Rentals: Honua Kai Konea 320,39073224,Matthew William,2015-07-20,This upgraded corner 2 bedroom suite offers numerous interior enhancements and gorgeous views of the verdant West Maui Mountains.,within an hour,100%,99%,t,Kaanapali,596.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,6,2.0,2.0,3.0,"[""High chair - available upon request"", ""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Shower gel"", ""Wifi"", ""Cleaning available during stay"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Wine glasses"", ""Hot water"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Microwave"", ""Elevator"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Private patio or balcony"", ""TV with standard cable"", ""Dryer \u2013\u00a0In unit"", ""Washer \u2013\u00a0In unit"", ""Oven"", ""Long term stays allowed"", ""Shared BBQ grill: gas"", ""Cooking basics"", ""Dedicated workspace"", ""Resort access"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Shampoo"", ""Pack \u2019n play/Travel crib - available upon request"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Shared hot tub - available all year"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Pool - available all year, water slide"", ""Hangers"", ""Smoke alarm"", ""Gym"", ""Coffee"", ""Room-darkening shades""]",$432.00,2,180,1,180,5.5,180.0,6,23,44,286,3,2021-06-28,0,0,0.0,4.0,5.0,3.67,4.33,4.67,4.67,4.67,t,0.07,"440140060409, TA-098-923-1616-01"
9000,39060363,Amazing Island Style Farm 2bdrm,94682212,Rev. Les,2016-09-11,,within an hour,100%,97%,f,North Kohala,11.0,"['email', 'phone']",t,t,North Kohala,Hawaii,Farm stay,Entire home/apt,5,1.0,2.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Cleaning available during stay"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV"", ""Long term stays allowed"", ""Dedicated workspace"", ""Stove"", ""Fire extinguisher"", ""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Room-darkening shades""]",$98.00,4,90,4,1125,4.0,1125.0,5,28,58,289,84,2019-11-17,13,80,7840.0,4.56,4.71,4.45,4.83,4.6,4.69,4.77,f,1.3,GE-170-172-2112-01
9200,39633866,"Ka'anapali Beach Club ""Ocean View""",35873058,Gordon,2015-06-15,"**PLEASE ASK! We have many more weeks, dates and many GUARANTEED views!** Prices based on views, events, etc.<br /><br />**HOTEL TAX of approx 19.00 per night paid to resort upon check in.**<br /><br />Located on Maui's world famous Ka'anapali Beach. Vibrant tropical landscaping, first-rate amenities and exclusive array of leisure activities. Kaanapali Beach Club offers a one-acre swimming pool with separate kids pool, as well as calming outdoor whirlpool hot tubs.<br /><br />*Stock Photos",within an hour,97%,65%,t,Napili/Honokowai,60.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire villa,Entire home/apt,4,1.0,1.0,2.0,"[""Clothing storage"", ""Crib"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Beach access \u2013 Beachfront"", ""BBQ grill"", ""Private entrance"", ""Dishes and silverware"", ""Hot tub"", ""Washer \u2013\u00a0In building"", ""Elevator"", ""Kitchen"", ""Conditioner"", ""Free parking on premises"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Patio or balcony"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Fire extinguisher"", ""Gym"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Refrigerator"", ""Air conditioning"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Dishwasher"", ""Ocean view"", ""Blender"", ""Bed linens"", ""Bathtub"", ""Iron"", ""Freezer"", ""Microwave"", ""Outdoor furniture"", ""Building staff"", ""Toaster"", ""EV charger"", ""Self check-in"", ""TV"", ""Hangers"", ""Coffee"", ""Pool"", ""First aid kit"", ""Ceiling fan"", ""Wine glasses"", ""Shampoo""]",$335.00,7,1125,7,1125,7.0,1125.0,0,0,0,26,30,2020-02-08,3,28,9380.0,4.77,4.77,4.8,4.87,4.77,4.93,4.67,f,0.48,Exempt
9400,40313198,Luxurious Maui Getaway w/ Panoramic Ocean Views!,151398424,Evolve,2017-09-20,"Wake up to the calming sounds of the sea with a stay at this luxurious Maui condo! The 1-bedroom, 2-bathroom Wailuku vacation rental is ideally located for exploring the lush and mountainous landscape of the island, with Maalaea Harbor, Baldwin Beach Park, and Iao Valley State Park each within a short drive. Admire the surfers from the breathtaking wall-to-wall windows or the private balcony, and later, venture off to the scenic beachside town of Kihei for a late-night bite!",within an hour,100%,99%,f,Downtown,612.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire condo,Entire home/apt,6,2.0,1.0,3.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Board games"", ""Wifi"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""Washer"", ""Oven"", ""Private outdoor pool"", ""TV"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Keypad"", ""Free residential garage on premises"", ""Fire extinguisher"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Bed linens"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Central air conditioning"", ""Ethernet connection"", ""Beach essentials"", ""Self check-in""]",$363.00,2,1125,2,1125,2.5,1125.0,15,41,64,310,103,2019-12-04,24,108,39204.0,4.56,4.56,4.44,4.86,4.65,4.78,4.28,t,1.6,"380140220040, TA-030-052-6080-01"
9600,40790289,"Halii Kai 16C, Beautiful Ocean View",18476866,Matthew,2014-07-20,"Hali'i Kai unit 16C - Beautiful ocean view condo in Waikoloa Beach Resort.  <br /><br />**Be advised, Hali'i Kai Resort collects a check-in fee of $25/day + tax for each reservation regardless of whom the reservation is booked through. Fee allows guests access to the property and Ocean Club facilities and includes electronic entry gate key card.<br /><br />vrKCV - Halii Kai 16C, Professionally managed by Kona Coast Vacations, a Big Island management company established since 2006.",within an hour,100%,92%,t,Kailua/Kona,309.0,"['email', 'phone']",t,f,South Kohala,Hawaii,Entire condo,Entire home/apt,6,2.0,2.0,4.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Wine glasses"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Smart lock"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""First aid kit"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Self check-in""]",$458.00,1,365,4,365,4.3,365.0,9,15,37,205,1,2024-12-30,1,6,2748.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,t,0.4,TA:105-423-5136-01. STVR-19-361549
9800,41620956,Day use camp park + hot water,162428194,Raven,2017-12-12,"PRIME LOCATION to pitch your tent! Enjoy peaceful nights in your tent (tent and camping gear not included) on our Aloha Surf Camp property! Best location in the ❤️ of Haleiwa! Make use of the outdoor kitchen, fridge, gym, fire pit area, outdoor tropical hot water shower, clean restrooms and FREE WiFi! Walking distance to all that this cute town has to offer. Food trucks, shops, restaurants, and the best beaches on the island only steps away. Parking Included! **you must pitch your own tent.",within an hour,100%,98%,,North Shore,50.0,"['email', 'phone']",t,t,North Shore Oahu,Honolulu,Campsite,Entire home/apt,2,,,,"[""Freezer"", ""Hair dryer"", ""Shared outdoor kitchen"", ""Self check-in"", ""Dining table"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Refrigerator"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Luggage dropoff allowed"", ""Hot water"", ""Outdoor shower"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Microwave"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Iron"", ""TV with Roku"", ""Dishes and silverware"", ""Exercise equipment: free weights"", ""Lockbox"", ""Oven"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Backyard"", ""Blender"", ""Baking sheet"", ""Rice maker"", ""Shared beach access"", ""Free parking on premises"", ""Hot water kettle"", ""Smoke alarm"", ""Fire pit"", ""Laundromat nearby"", ""Gym"", ""Beach essentials"", ""Hammock""]",,1,61,1,61,1.0,61.0,0,0,0,0,31,2020-01-17,0,0,,4.61,4.65,4.39,4.71,4.74,4.77,4.42,f,0.49,GET/TAT190044006401
10000,41877750,Moku Hale By Parrish Kauai - Private Pool,101401250,Parrish Kauai,2016-10-26,"This newly renovated Kiahuna Golf Village home is spacious with great ocean and golf course lake views. The perfect location for a family vacation, or the golf enthusiast, all will enjoy the pool and pool deck along with the large covered lanai perfect for the outdoor family dinner.",within an hour,100%,100%,t,Kapalua,296.0,"['email', 'phone']",t,t,Koloa-Poipu,Kauai,Entire home,Entire home/apt,6,3.0,3.0,3.0,"[""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""HDTV with standard cable, premium cable"", ""Kitchen"", ""Free parking on premises"", ""Smoke alarm"", ""Patio or balcony"", ""Fire extinguisher"", ""Hair dryer"", ""Stainless steel oven"", ""Refrigerator"", ""Extra pillows and blankets"", ""Beach essentials"", ""Hot water"", ""Essentials"", ""Dishwasher"", ""Electric stove"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Iron"", ""Coffee maker: drip coffee maker"", ""Microwave"", ""Toaster"", ""Self check-in"", ""Hangers"", ""Backyard"", ""Pool"", ""Free washer \u2013 In unit"", ""Single level home"", ""Lockbox"", ""Shampoo"", ""Central air conditioning""]",$941.00,1,1125,5,120,5.5,83.1,14,32,59,164,3,2021-08-26,0,0,0.0,3.67,3.67,4.0,5.0,3.67,5.0,3.67,t,0.07,"280290180000, TA-062-432-4608-01"
10200,43046170,Maui Resort Rentals: Honua Kai Konea 239,39073224,Matthew William,2015-07-20,"Considered to be the premier two-bedroom floorplan at Honua Kai, this 2nd-floor gem boats a spacious 1325 sq. ft. of interior living area, a 315 sq. ft. ""L"" shaped balcony, and direct ocean views from the living, dining, kitchen, and bedroom.",within an hour,100%,99%,t,Kaanapali,596.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,6,2.0,2.0,3.0,"[""High chair - available upon request"", ""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Shower gel"", ""Wifi"", ""Cleaning available during stay"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Wine glasses"", ""Hot water"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Microwave"", ""Elevator"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Private patio or balcony"", ""TV with standard cable"", ""Dryer \u2013\u00a0In unit"", ""Washer \u2013\u00a0In unit"", ""Oven"", ""Long term stays allowed"", ""Shared BBQ grill: gas"", ""Cooking basics"", ""Dedicated workspace"", ""Resort access"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Shampoo"", ""Pack \u2019n play/Travel crib - available upon request"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Shared hot tub - available all year"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Pool - available all year, water slide"", ""Hangers"", ""Smoke alarm"", ""Gym"", ""Coffee"", ""Room-darkening shades""]",$604.00,2,180,3,180,5.5,180.0,6,10,26,243,9,2020-12-13,1,6,3624.0,4.44,4.44,4.67,4.33,4.56,5.0,4.33,t,0.17,"440140060382, TA-108-952-3712-01"
10400,43520634,Royal Aloha 14F Aloha Breeze 1 bed room condo,256774718,Lisa,2019-04-19,"Its central location and minutes from UH,KCC,Diamond Head,Waikiki,and Ala Moana. Royal Aloha is a famous building with whale paintings. Conveniently located at the entrance to Waikiki, you can go inside the Waikiki area or go outside! Overlooking the Ala Wai Canal. <br />Sqft Living: 520, Lanai: 50 <br /><br />Royal Aloha is a famous building with whale murals painted. Located at the entrance of Waikiki, it is not only convenient for going inside the Waikiki district, but also convenient for going outside!",within a few hours,94%,88%,f,Waikiki,107.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Self check-in"", ""Hot water"", ""Essentials"", ""Hangers"", ""TV"", ""Wifi"", ""Shared outdoor pool"", ""Elevator"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Washer \u2013\u00a0In building"", ""Portable air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Shampoo"", ""Lockbox""]",$154.00,2,1125,2,1125,2.0,1125.0,20,50,80,170,74,2020-08-22,9,54,8316.0,4.53,4.68,4.27,4.82,4.69,4.73,4.62,f,1.33,"260140260121, 1402, TA-028-622-9504-01"
10600,44324944,Deluxe Ocean View Condo - Free Parking & Wifi,196635279,Koko Resorts,2018-06-19,"Deluxe High-Level Condo with Beautiful Ocean View, Free parking & Wi-Fi<br />Aloha and Welcome to Koko Resorts! We are so happy you have chosen to stay with us for your Hawaiian Vacation!<br /><br />This gorgeous 31st floor condo has views of Waikiki, a sweeping view of the ocean, and is only a few blocks away from the world-famous Waikiki Beach!",within an hour,95%,99%,f,Waikiki,185.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""BBQ grill"", ""Elevator"", ""Dishes and silverware"", ""Hot tub"", ""Kitchen"", ""Smart lock"", ""Free parking on premises"", ""Smoke alarm"", ""Sauna"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Coffee maker"", ""Hair dryer"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Dishwasher"", ""Essentials"", ""Bed linens"", ""Microwave"", ""Toaster"", ""Self check-in"", ""Pool"", ""Oven""]",$234.00,2,365,2,365,2.6,153.5,8,27,57,253,8,2021-04-03,1,6,1404.0,4.63,4.38,4.13,5.0,3.75,4.88,4.38,t,0.17,"260250050344, TA-034-157-9776-01"
10800,45141764,Waikoloa Colony Villas 805: Expansive 3 Br 2.5 Ba,132087088,Maui Condo,2017-05-26,"Located on the Hawaii Island’s west coast next to the 10th fairway of the Waikoloa Beach Golf Course is Waikoloa Colony Villas, a private gated community that boasts stunning views of Mauna Kea and the ""Big Island’s"" notorious lava fields",within an hour,100%,100%,f,Wailea,557.0,"['email', 'phone']",t,t,South Kohala,Hawaii,Entire condo,Entire home/apt,8,2.5,3.0,5.0,"[""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Bathtub"", ""Dining table"", ""Dishwasher"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Wine glasses"", ""Hot water"", ""Shared hot tub"", ""Electric stove"", ""Kitchen"", ""Toaster"", ""Shared outdoor pool - available all year"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Oven"", ""Shared BBQ grill: gas"", ""Patio or balcony"", ""Keypad"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Shared gym nearby"", ""Rice maker"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Central air conditioning"", ""Coffee"", ""Self check-in""]",$397.00,1,1125,1,1125,2.6,288.9,0,10,37,298,23,2021-07-12,3,30,11910.0,4.43,4.57,3.78,4.83,4.83,4.87,4.3,t,0.52,176-948-4288-01
11000,45926379,KA 403 Remodeled 1BD w Mountain Views Pool AC,15820446,Maui Paradise Properties,2014-05-21,"Kaleialoha 403 Magnificent Mountain View 1Bedroom/1Bath Condo, can Sleeps 4!",within an hour,100%,98%,t,Kaanapali,351.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,4,1.0,1.0,1.0,"[""Conditioner"", ""Coffee maker: drip coffee maker"", ""Freezer"", ""Sun loungers"", ""Hair dryer"", ""Dining table"", ""Dishwasher"", ""Shower gel"", ""Outdoor furniture"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Resort view"", ""Wine glasses"", ""Mountain view"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Clothing storage: closet and dresser"", ""BBQ grill: gas"", ""Kitchen"", ""Private outdoor pool - available all year, open specific hours"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Elevator"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""Shared backyard"", ""TV with standard cable"", ""Oven"", ""Waterfront"", ""Free parking on premises \u2013 1 space"", ""Lockbox"", ""Long term stays allowed"", ""First aid kit"", ""Dedicated workspace"", ""Stove"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Shampoo"", ""Blender"", ""Window AC unit"", ""Ceiling fan"", ""Baking sheet"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Laundromat nearby"", ""Self check-in""]",$155.00,5,1125,2,1125,6.5,1125.0,4,17,35,106,23,2021-02-23,1,20,3100.0,4.43,4.65,4.61,4.91,4.65,4.61,4.26,t,0.47,"430060130053, TA-146-023-0144-01"
