,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
174,210968,1 block to  beach/ 30 day minimum  3 Beds!,1040710,June,2011-08-30,"INQUIRE AVAILABLE DATES. 1 Block to Beach,Ocean View from upstairs loft bedroom! Self Check-In.  3 beds is located near so many amazing beaches. The Loft has 2 queen size beds upstairs in the loft bedroom. There is also a fold out  futon couch.  Has full kitchen and full bath. It is about 650 feet to the beach. There is also free off street parking. Inquire available dates. Great, safe neighborhood. Foodland grocery store near by.",within a day,100%,100%,f,North Shore,2.0,"['email', 'phone']",t,t,North Shore Oahu,Honolulu,Entire guesthouse,Entire home/apt,4,,1.0,,"[""Clothing storage"", ""Drying rack for clothing"", ""Cooking basics"", ""Wifi"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Shower gel"", ""Smoke alarm"", ""Washer"", ""Patio or balcony"", ""Body soap"", ""Dryer"", ""Fire extinguisher"", ""Hair dryer"", ""Long term stays allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Free street parking"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Bathtub"", ""Coffee maker: Keurig coffee machine"", ""Iron"", ""Freezer"", ""Microwave"", ""Toaster"", ""Self check-in"", ""TV"", ""Cleaning products"", ""Hangers"", ""Portable fans"", ""Shared beach access"", ""Oven"", ""Wine glasses"", ""Shampoo"", ""Lockbox""]",,30,180,30,1125,30.0,1125.0,0,0,0,0,535,2011-10-01,29,255,,4.67,4.71,4.68,4.91,4.89,4.81,4.6,f,3.27,TA-165-142-6304-01
220,663763,Menehune Shores - 2BedRoom #123,3211895,Kyungho,2012-08-09,GE-089-224-1920-01 TA-089-224-1920-01<br />A split  A/C system in the living room.,within a day,88%,81%,f,Kihei/Wailea,53.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,"[""Dryer"", ""Hot water"", ""Hangers"", ""Wifi"", ""Elevator"", ""Hair dryer"", ""Pool"", ""Bed linens"", ""Kitchen"", ""Iron"", ""TV with standard cable"", ""Free parking on premises"", ""Air conditioning"", ""Washer""]",$420.00,3,60,3,60,3.0,60.0,3,33,63,217,11,2016-11-14,2,0,0.0,4.91,4.82,4.82,5.0,4.82,5.0,4.55,f,0.11,"390010850019, TA-089-224-1920-01"
238,715447,Hale Hulili,3685743,Tamara,2012-09-26,Super chill and private.,within a day,70%,20%,f,Island of Hawaiʻi,2.0,"['email', 'phone']",t,t,Puna,Hawaii,Entire home,Entire home/apt,4,,2.0,,"[""Coffee maker"", ""Hair dryer"", ""Garden view"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Long term stays allowed"", ""Cooking basics"", ""Dedicated workspace"", ""Stove"", ""Private backyard \u2013 Not fully fenced"", ""Exterior security cameras on property"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",,7,365,7,365,7.0,365.0,27,48,78,353,2,2014-03-11,0,0,,4.5,5.0,5.0,5.0,4.5,4.0,4.5,f,0.01,
244,902704,Ocean View Condo 4304 at Hanalei Bay Resort,4824835,Denisha,2013-01-23,"A beautiful 1BR condo at Hanalei Bay Resort with stunning views of majestic Hanalei Bay. This is one of the best condos at Hanalei Bay Resort, a third floor unit with high ceilings, next to the beach path and directly overlooking Hanalei Bay and Kauai's mountains.",within a day,100%,100%,f,,5.0,"['email', 'phone']",t,t,North Shore Kauai,Kauai,Entire condo,Entire home/apt,2,1.0,1.0,2.0,"[""Washer"", ""Essentials"", ""TV"", ""Smoke alarm"", ""Air conditioning"", ""Gym"", ""Dryer"", ""Wifi"", ""Shared pool"", ""Hot tub""]",$350.00,4,1125,4,1125,4.0,1125.0,4,13,29,210,25,2014-08-15,0,8,2800.0,4.56,4.58,4.56,4.92,4.79,4.92,4.68,f,0.19,540110030000
251,755553,Hale Ohia Nui Nestled in the Forest,3685743,Tamara,2012-09-26,Private and peaceful best describes this space.,within a day,70%,20%,f,Island of Hawaiʻi,2.0,"['email', 'phone']",t,t,Puna,Hawaii,Entire home,Entire home/apt,4,2.0,2.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Pets allowed"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Iron"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""Long term stays allowed"", ""Backyard"", ""Shampoo"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$85.00,4,365,4,365,4.0,365.0,19,20,20,20,5,2013-01-15,4,24,2040.0,5.0,5.0,5.0,4.8,5.0,4.8,4.6,f,0.03,
291,1104128,Marriott Ko Olina Beach Club Villa - entire condo,4150084,Rudy,2012-11-14,"Resort allows only Check-In days: FRIDAY, SATURDAY, or SUNDAY only. <br /><br />Must be booked for the entire 7 days.<br /><br />A two-bedroom villa (1280 sqft/ 115 sqm) with two King beds and two queen sofa beds, a spacious living room, and dining area, a small private lanai/patio, washer/dryer, TV/DVD, full kitchen, and Wi-Fi.",within a day,100%,0%,f,Makakilo/Kapolei/Honokai Hale,4.0,"['email', 'phone']",t,t,Ewa,Honolulu,Private room in resort,Private room,8,2.0,2.0,4.0,"[""Coffee maker"", ""Heating"", ""Sun loungers"", ""Hair dryer"", ""Safe"", ""Dishwasher"", ""Dining table"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Mountain view"", ""Shared hot tub"", ""Indoor fireplace"", ""Barbecue utensils"", ""Clothing storage: wardrobe and dresser"", ""Kitchen"", ""Toaster"", ""Outdoor dining area"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Resort access"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Rice maker"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Shared outdoor pool - available all year, open specific hours, heated, infinity, water slide"", ""Hangers"", ""Smoke alarm"", ""Fire pit"", ""Dryer"", ""Gym""]",$990.00,7,7,7,7,7.0,7.0,0,0,0,64,8,2017-01-29,0,14,13860.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.08,Exempt
315,1170189,Beautiful 3 BD Home in Kapaa Kauai TVNC 1079,6406878,Dasan,2013-05-15,,within a day,100%,0%,f,Kauaʻi,3.0,"['email', 'phone']",t,f,Kapaa-Wailua,Kauai,Entire home,Entire home/apt,6,2.0,3.0,3.0,"[""Cooking basics"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Keypad"", ""Kitchen"", ""Free parking on premises"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Coffee maker"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Extra pillows and blankets"", ""Beach essentials"", ""Hot water"", ""Dishwasher"", ""Free street parking"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Bathtub"", ""Iron"", ""Heating"", ""Microwave"", ""Self check-in"", ""Hangers"", ""Backyard"", ""Oven"", ""Single level home""]",$367.00,5,30,5,30,5.0,30.0,2,2,25,25,13,2018-05-26,0,0,0.0,4.92,5.0,4.85,5.0,5.0,4.85,4.85,f,0.16,420150270000
324,1001871,600 sqft FamilyStudio with Private Bath & Balcony,5510027,Cynthia,2013-03-18,"Hawaii State Taxes of 14.96% are not calculated in the price on Airbnb. We will collect upon arrival.   W57287084-01<br /><br />Big clean room, comfy beds, TV, Wi-fi, cable, kitchen, cotton sheets, parking. Quiet home in family area, 1 mi to airport&Univ, 2 blocks to mini mall, grocery, fastfood, deli,bank",within a day,80%,33%,f,Hilo,14.0,"['email', 'phone']",t,f,South Hilo,Hawaii,Entire guesthouse,Entire home/apt,4,1.0,1.0,3.0,"[""Hair dryer"", ""Wifi"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Shampoo"", ""Ceiling fan"", ""Exterior security cameras on property"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$178.00,1,28,1,28,1.0,28.0,30,54,84,84,50,2013-04-08,0,0,0.0,4.46,4.69,4.53,4.76,4.73,4.57,4.51,f,0.34,W57287084-01
329,1206189,TK's Hideaway,2612922,Tom,2012-06-12,"Perfectly located home in a new subdivision on the south edge of Waikoloa on the Big Island. You can request early checkin and late checkout to help you max out precious time. Very private rooms with private bath. For two friends or family traveling together an extra bedroom with single bed. Super value. The 2nd bedroom is only available as two rooms together so it assures your privacy. Clean quiet and peaceful. Perfect location. Fantastic views. Serving tea, coffee and a super secret beach.",within a day,100%,97%,t,Island of Hawaiʻi,1.0,"['email', 'phone']",t,t,South Kohala,Hawaii,Private room in home,Private room,3,1.0,2.0,2.0,"[""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Dryer"", ""Coffee maker"", ""Fire extinguisher"", ""Sea view"", ""Hair dryer"", ""TV with standard cable"", ""Mountain view"", ""Extra pillows and blankets"", ""Refrigerator"", ""Free street parking"", ""Hot water"", ""Essentials"", ""Dishwasher"", ""Ocean view"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Iron"", ""Hangers"", ""Backyard"", ""Oven"", ""Host greets you"", ""Harbor view"", ""Shampoo"", ""Private patio or balcony""]",$110.00,1,7,1,7,1.0,7.0,0,0,15,15,334,2014-03-11,26,174,19140.0,4.93,4.96,4.9,4.97,4.97,4.93,4.94,f,2.49,W01479108-01
347,1022200,"Condo in Kailua-Kona, Kona Coast II Resort 2bdroom",3393610,Daniel,2012-08-27,"Enjoy the calm winds, beautiful sunset overlooking the golf course",within a day,50%,0%,f,Kailua/Kona,4.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,"[""TV with standard cable"", ""Washer"", ""Free parking on premises"", ""Air conditioning"", ""Kitchen"", ""Dryer"", ""Pool"", ""Wifi"", ""Gym""]",$175.00,7,7,7,7,7.0,7.0,2,31,54,329,1,2018-06-15,0,0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,f,0.01,
348,1030150,Deluxe Double Room /Wi-fi/Netflix/Fridge,5510027,Cynthia,2013-03-18,"Big clean rooms, comfy beds, flat screen TVs, Wi-fi, Netflix, kitchen, cotton sheet, parking. Quiet home in family area, 1 mi to airport&Univ, 2 blocks to mini mall, grocery, fastfood, delis.bank etc. Please pay tax of 17.96% on arrival, cash. Mahalo",within a day,80%,33%,f,Hilo,14.0,"['email', 'phone']",t,f,South Hilo,Hawaii,Private room in home,Private room,3,2.0,1.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""First aid kit"", ""Cooking basics"", ""Stove"", ""Fire extinguisher"", ""Shampoo"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Self check-in""]",$145.00,1,28,1,28,1.0,28.0,30,54,83,83,54,2014-02-18,1,12,1740.0,4.5,4.53,4.5,4.61,4.74,4.54,4.43,f,0.4,W57287084-01
357,1030151,ITO Close - Queen Room - Wifi/Netflix- Kitchenette,5510027,Cynthia,2013-03-18,"**For best results, pls. read thru ENTIRE listing.<br />Clean rooms, comfy beds, smart TVs with free Netflix, Wifi, kitchen, cotton sheets, easy parking. Quiet home in safe family area, 1 mi to airport and Uni.  Bus stops at street corner, 2 blocks to mini mall, groceries, restaurants, banks, hairdresser.  1 mile to closest beach & downtown Hilo.  Dead end street, please drive slowly.  Uber and public bus/taxis available. FREE COFFEE, bread, butter<br /><br />Please pay tax of 17.96% on arrival, cash. Mahalo",within a day,80%,33%,f,Hilo,14.0,"['email', 'phone']",t,f,South Hilo,Hawaii,Private room in guest suite,Private room,3,1.0,1.0,1.0,"[""Cooking basics"", ""Wifi"", ""BBQ grill"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Smart lock"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Smoke alarm"", ""Coffee maker"", ""Fire extinguisher"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Beach essentials"", ""Hot water"", ""Essentials"", ""Carbon monoxide alarm"", ""Free street parking"", ""Bed linens"", ""Iron"", ""Lock on bedroom door"", ""Microwave"", ""Self check-in"", ""Hangers"", ""Oven"", ""First aid kit"", ""Shampoo""]",$118.00,1,28,1,28,1.0,28.0,30,54,83,83,58,2014-06-22,0,0,0.0,4.48,4.47,4.39,4.77,4.63,4.61,4.44,f,0.44,W57287084-01
